ISIN,Quantity,Purchase Date,Amount Paid,Currency
US0378331005,50,2021-06-15,7500,USD
US5949181045,40,2020-03-20,8000,USD
US67066G1040,30,2023-01-10,7800,USD
US02079K3059,25,2022-04-12,3500,USD
US0231351067,35,2021-08-25,4200,USD
US88160R1014,20,2023-05-18,5500,USD
US30303M1027,15,2022-10-04,3200,USD
US78462F1030,25,2021-02-08,11250,USD
US46090E1038,30,2022-06-30,11400,USD
US9229087690,60,2021-09-14,12300,USD
US9229085538,80,2023-03-22,3600,USD
US78463V1070,40,2022-11-15,7600,USD
IE00B4L5Y983,120,2022-03-15,9100,USD
IE00B5BMR087,50,2023-06-10,32500,EUR
IE0031442068,400,2021-12-05,16800,GBP
IE00B4K48X80,200,2022-08-20,18400,EUR
IE00BKM4GZ66,150,2023-07-12,4900,EUR
DE0005933931,30,2022-05-30,4800,EUR
IE0032077012,25,2023-09-08,12500,EUR
FR0000121014,15,2021-11-22,11000,EUR
NL0010273215,8,2022-02-14,6300,EUR
CH0038863350,40,2021-04-19,4500,CHF
CH1499059983,20,2023-08-30,8000,CHF
DE0007164600,25,2022-12-05,3100,EUR
GB0007188757,300,2021-07-08,15500,GBP
